Gene_Proteins,EAA30,EAA13,PPS15,PPS24,PPS40,PPS47,PPS52,PPS64,PPS67,Young_Average,Young_SD,T-Test (Young to Pre-Old),T_Test_Young_to_Post,PRE_S03,PRE_S05,PRE_S10,PRE_S12,PRE_S15,PRE_S17,PRE_S24,PRE_S30,PRE_S32,PRE_S02,PRE_S04,PRE_S09,PRE_S11,PRE_S14,PRE_S16,PRE_S19,PRE_S21,PRE_S31,Old_Pre_Average,Old_Pre_SD,T_Test_Pre_to_Post),POST_S03,POST_S05,POST_S10,POST_S12,POST_S15,POST_S17,POST_S24,POST_S30,POST_S32,POST_S02,POST_S04,POST_S09,POST_S11,POST_S14,POST_S16,POST_S19,POST_S21,POST_S31,Old_Post_Average,Old_Post_SD
"ABL1;GN=_Tyrosine-protein kinase ABL1;Isoform of P00519, Isoform IB of Tyrosine-protein kinase ABL1",0.3881,0,0.5426,0.5701,0,0.2771,0,0.4865,0.8185,0.3426,0.2953,0.0076,0.0343,0.5481,0.9533,0.7012,1.1108,0.607,1.0057,1.9704,0.2104,0,0.7312,0.9515,1.0856,0.7411,0.9268,1.2472,0.8202,0.7625,0.2636,0.8131,0.4369,0.4462,0.638,0.9316,1.382,0.7347,1.2437,1.1912,0,0,0.2453,0.6832,0.8787,0.6102,0.7313,0.3903,1.2006,1.1231,0.7662,0,0.7083,0.4411
"ABLIM2;ABLIM2_Isoform of Q6H8Q1, Actin-binding LIM protein 2;Isoform of Q6H8Q1, Actin-binding LIM protein 2",0,0,0,0.6322,0,0,0,0,0,0.0702,0.2107,0.1613,0.4761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3313,0,0,0,0,0.4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.1102
ABLIM3_Actin-binding LIM protein 3,0,0,0,0.4957,0,0,0,0,0.4071,0.1003,0.2003,0.3671,0.0398,0,0,0.6774,0,0,0,0,0,0,5.2936,0,0,0,0,0,6.4508,0,0,0.6901,1.9023,0.1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABR;GN=;GN=_Active breakpoint cluster region-related protein;Isoform of Q12979, Isoform Short of Active breakpoint cluster region-related protein;Isoform of Q12979, Isoform 4 of Active breakpoint cluster region-related protein",2.8105,2.7804,1.6364,2.2135,2.314,2.538,1.6506,2.9594,1.796,2.2999,0.5132,0.0018,0.0009,1.873,3.0578,3.5004,3.2265,3.6022,3.1316,5.6022,3.0687,4.6206,2.9515,3.1033,5.085,3.6274,3.1857,4.0082,2.4872,3.6902,2.444,3.4592,0.9209,0.4549,3.8842,2.2188,4.8788,3.4851,3.7301,4.4064,5.6406,2.2533,2.802,2.6827,3.0649,4.1,4.101,3.138,4.0365,3.8764,4.9982,2.1875,3.638,0.9986
ABRAXAS2_BRISC complex subunit Abraxas 2,21.0906,16.1551,14.4744,14.7938,13.7679,13.7846,17.8997,18.3995,12.4913,15.873,2.7646,0.0083,0.0183,14.7583,20.0222,18.5149,17.1524,18.4363,19.9692,30.6733,19.9044,17.9061,19.5141,18.777,22.6355,17.4739,18.026,25.7188,22.6314,19.586,16.1511,19.8806,3.6931,0.3119,23.0196,17.751,21.8229,17.6287,33.2525,27.9692,27.7538,6.586,18.5001,15.3912,17.089,17.8106,23.6425,15.9793,26.8535,28.1014,24.6216,22.236,21.445,6.2774
ABTB2_Ankyrin repeat and BTB/POZ domain-containing protein 2,3.6248,2.2507,3.3636,2.1586,3.4855,2.7189,3.5249,3.4428,1.7152,2.9205,0.7222,0.0476,0.1398,2.8375,3.416,3.7585,3.3352,3.1921,3.7667,5.5394,2.8232,2.5888,3.4966,4.3494,4.16,3.8396,2.7689,5.6826,4.2045,3.399,2.4491,3.6448,0.9061,0.917,3.3151,3.494,3.9858,3.0713,4.623,3.9891,5.0877,0,2.3926,3.6557,4.2522,3.9435,4.253,2.2124,4.6249,4.5439,5.2981,2.4286,3.6206,1.2704
"ACAA1_3-ketoacyl-CoA thiolase, peroxisomal",4.5781,3.1931,2.1999,1.0587,2.7834,1.6006,2.9823,1.6252,2.2116,2.4703,1.0564,0.0013,0.1682,3.8507,4.0871,3.1581,2.9453,2.597,4.2409,4.3859,3.0293,3.7454,2.9645,5.0469,5.2058,3.666,3.5229,6.2929,4.907,4.7802,3.0012,3.9682,0.99,0.3578,0,1.9986,3.6611,4.2104,6.1238,3.6206,4.589,2.4924,5.4209,0,3.7318,1.663,0,4.1472,5.7757,5.5979,5.3557,4.678,3.5037,2.0376
"ACAA2_3-ketoacyl-CoA thiolase, mitochondrial",148.1794,77.0566,131.4924,146.0089,87.2707,233.6109,123.8069,258.7654,215.48,157.9635,64.0714,0.0285,0.1409,103.8331,352.6243,210.9698,254.1708,199.009,203.9673,476.0589,116.3452,260.4363,247.5415,229.101,352.6873,144.8073,182.5575,365.7211,197.7024,187.1742,228.8765,239.6435,94.689,0.1301,134.6164,149.4938,333.0522,374.3004,201.9408,204.9653,281.1396,81.1187,181.1653,153.4169,226.943,163.5985,153.601,153.1647,319.0079,158.7555,249.9862,152.4603,204.0404,78.555
ACACB_Acetyl-CoA carboxylase 2,10.3464,19.4317,11.2409,10.2584,9.4009,13.6865,22.8531,14.7811,9.1014,13.4556,4.8222,0.8142,0.2052,9.9893,13.4033,8.0135,10.6298,11.9007,11.271,21.7501,12.1969,11.5745,13.2418,9.083,19.7738,16.0358,9.0594,17.9246,14.1355,14.5628,10.4184,13.0536,3.7868,0.0181,20.6015,14.5554,13.5898,10.7305,14.4752,17.9383,27.4234,8.4649,11.0707,12.336,7.7681,12.711,22.0087,13.2391,22.1412,34.279,27.7215,14.3139,16.9649,7.2984
"ACAD10;GN=_Acyl-CoA dehydrogenase family member 10;Isoform of Q6JQN1, Isoform 5 of Acyl-CoA dehydrogenase family member 10",1.3674,2.0797,1.3289,1.4105,1.8271,1.3095,1.4878,1.3775,1.121,1.4788,0.2935,0.0031,0.0001,1.4806,3.3305,2.5452,2.27,2.0034,1.8045,4.0631,1.2091,2.3545,2.4046,3.9859,2.7365,2.4739,1.8548,2.7929,2.0975,1.7813,1.6121,2.3778,0.7903,0.1161,2.6375,2.8756,2.7894,3.4445,3.416,2.9928,3.7164,0.6661,1.8624,2.0581,3.3359,2.4226,2.874,1.7888,2.9813,2.9657,3.1551,1.9818,2.6647,0.7542
"ACAD8_Isobutyryl-CoA dehydrogenase, mitochondrial",36.3403,34.0259,32.802,27.9563,35.4135,35.8091,41.0152,52.4936,40.5982,37.3838,6.8959,0.0363,0.1371,42.2509,74.8018,70.0197,33.7851,48.4253,45.5471,103.0767,24.3808,56.325,53.7586,79.091,58.3835,26.1391,47.654,60.1797,45.1764,29.8983,49.1928,52.6714,19.9756,0.0995,56.2987,44.9493,77.5554,57.5202,53.6567,52.6357,77.969,16.0332,36.6754,39.3073,58.5756,34.473,32.0696,30.7368,47.25,53.1776,31.675,31.3586,46.2176,16.4136
"ACAD9_Complex I assembly factor ACAD9, mitochondrial",6.7358,8.0096,8.4275,6.5596,6.194,10.0206,8.4868,12.1341,8.0613,8.2921,1.8629,0.0042,0.0001,13.2873,23.389,13.4623,15.3754,18.8961,7.8607,35.7982,5.7115,8.3062,22.9905,32.9327,21.2858,9.8808,17.2385,20.6562,15.2304,11.5145,13.326,17.0634,8.1606,0.3679,20.687,17.403,20.7928,22.3316,23.9565,10.1761,25.818,5.3152,9.2422,21.5215,26.7742,10.6827,16.7376,19.6272,24.1602,22.4145,18.1224,14.8647,18.3682,6.1432
"ACADM;GN=_Medium-chain specific acyl-CoA dehydrogenase, mitochondrial;Isoform of P11310, Isoform 2 of Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",889.9957,778.7709,1107.9005,763.4478,1544.787,1172.9868,1359.0799,1503.1637,1235.6826,1150.6461,293.4217,0.0016,0.002,1113.3604,1904.6369,2461.0489,1992.6253,1842.7767,1344.1898,3661.5136,982.084,1465.8902,1857.5819,2196.479,2066.283,1145.7518,2201.4039,2096.2834,2091.7603,1837.5791,2287.1844,1919.3574,612.9857,0.8399,1814.6717,1383.9588,3047.2792,1706.5551,2235.7547,2194.2209,3005.5366,573.3516,1632.9585,1545.159,1793.9768,1492.3793,1438.1163,1965.8871,1510.4327,2848.5819,2804.8915,2041.5353,1946.4026,653.1698
"ACADM_Isoform of P11310, Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial",0.7168,0,9.8764,6.6647,1.1073,5.9442,1.2113,10.4594,11.1791,5.2399,4.5794,0.0005,0.0007,17.6293,19.5484,31.1616,20.1523,20.2196,15.8584,40.0554,0.8895,0.6639,26.3723,25.0569,30.6471,13.9891,28.7806,29.6517,21.395,24.1349,1.7362,20.4412,10.9113,0.5305,23.8615,15.8607,34.6667,22.3265,17.2117,26.4777,20.3668,0,1.6806,19.5467,25.2649,11.3653,19.6243,25.0645,19.3108,36.2851,22.9623,1.9233,19.1,10.1545
"ACADS_Short-chain specific acyl-CoA dehydrogenase, mitochondrial",107.9911,81.8295,113.5797,185.2164,104.7294,113.9707,193.7961,213.0131,165.9231,142.2277,47.3349,0.0286,0.0069,124.0611,436.0258,226.1102,207.074,161.9842,104.8481,263.4879,41.2809,217.421,283.6926,414.5979,233.5016,208.9251,157.0362,264.3322,158.7859,270.6114,230.0918,222.4371,97.318,0.8977,169.7845,251.4335,315.0738,272.2829,178.9881,196.508,207.8845,24.6957,155.8745,264.7117,321.7487,174.4533,241.3204,185.6344,225.9443,271.9122,367.3805,221.1347,224.8203,76.7022
"ACADSB_Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",49.6922,21.3113,44.7611,28.8855,60.7671,53.6158,59.3943,84.7435,45.4576,49.8476,18.5108,0.0028,0.0059,85.2385,197.657,155.6038,93.2665,101.4081,69.3203,172.2506,32.904,99.1977,126.5167,206.9317,123.6488,59.7022,91.5587,100.9602,79.9488,86.0887,38.4327,106.7019,49.4251,0.024,105.4868,113.0116,163.4226,117.6306,77.7006,86.6923,99.1795,16.7502,81.447,95.5373,159.0438,64.9351,58.7346,77.5994,81.3582,71.7346,83.6404,39.8068,88.5395,36.0521
"ACADVL;GN=_Very long-chain specific acyl-CoA dehydrogenase, mitochondrial;Isoform of P49748, Isoform 3 of Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",258.2783,289.8743,514.3998,413.2181,277.312,448.635,497.2159,442.2891,591.7073,414.77,116.6834,0.04,0.0121,511.8418,856.0758,713.3789,448.6686,562.565,486.5871,853.8088,164.9486,426.6792,665.9597,959.2395,872.3481,423.4387,458.4582,632.9217,515.4801,501.2404,345.9403,577.7545,208.5666,0.5077,601.5865,654.219,861.4146,859.6473,665.157,592.0799,870.4063,126.7713,329.2116,615.9893,723.7971,487.842,567.7982,474.306,717.7966,660.2809,746.8202,371.5839,607.0393,195.349
"ACAP2_Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",3.699,7.4252,2.9121,2.9825,5.2284,5.2119,3.4789,4.0936,2.3217,4.1504,1.5777,0.5338,0.4309,2.5612,3.0578,4.2318,3.4279,4.4481,2.9516,5.4848,3.2565,3.9765,3.8552,3.8162,4.6131,4.1763,3.7809,5.2596,3.5704,3.6479,3.5449,3.87,0.7556,0.0742,7.619,5.2908,3.9184,3.6815,3.9804,5.8302,4.3483,4.1804,2.8332,3.7798,3.3637,7.0304,5.2905,2.4892,5.781,6.3845,3.7715,3.8526,4.6347,1.4349
"ACAT1_Acetyl-CoA acetyltransferase, mitochondrial",685.3113,644.1837,719.2846,921.8905,573.4144,606.1682,903.535,1018.6061,755.6261,758.6689,155.2494,0.0003,0.0002,1091.7816,2279.8811,1131.4106,1276.2203,1472.8981,1095.3694,2091.995,891.9667,1260.0896,1327.8468,1968.0089,1794.6915,1003.6691,1083.1778,2204.1949,1324.3778,999.1853,1126.6815,1412.4137,449.6666,0.5267,1145.5079,1103.6292,1630.0925,1560.3438,1065.6735,1751.3798,1844.2594,548.8087,1115.5143,1343.6099,1360.244,597.4192,1356.7318,1160.0016,1685.0057,1502.8953,1875.0639,1232.6986,1326.6044,377.7811
"ACAT1_Isoform of P24752, Acetyl-CoA acetyltransferase, mitochondrial",1.254,1.0945,0.3709,0.77,0.4763,0.4213,1.1263,0.8223,0.5859,0.769,0.3298,0.0001,0.0002,2.2026,2.2157,1.1913,1.3065,1.7135,1.4739,3.4639,2.4766,2.2925,1.9555,2.5866,2.8125,1.6455,1.4099,3.7081,1.9857,1.2169,1.072,2.0405,0.7623,0.1659,1.9485,0.9645,1.9249,2.0517,1.3878,1.9226,2.0655,1.2219,1.6737,1.991,1.5029,0.3034,1.4628,1.4651,3.2278,2.1386,1.9921,1.8718,1.7287,0.599
"ACAT2_Acetyl-CoA acetyltransferase, cytosolic",5.1179,5.3175,0,0,4.2147,7.9413,5.2595,4.7831,2.3078,3.8824,2.634,0.4054,0.2647,3.507,0,2.4133,0,3.382,1.4483,4.4644,4.4973,6.2259,5.5239,3.8506,3.2381,6.3972,2.3276,2.5879,0,3.2625,3.1557,3.1268,1.9413,0.0083,7.584,2.967,3.6603,2.648,7.9291,4.5875,3.5174,9.2113,3.1752,3.8857,3.3298,6.8846,7.0355,3.364,3.6796,7.4444,4.2337,3.8385,4.9431,2.0885
ACBD3_Golgi resident protein GCP60,10.5776,7.5303,8.2205,8.2638,9.1911,12.2685,6.799,11.741,7.2562,9.0942,1.9949,0.0585,0.0074,9.3333,10.9575,11.7983,9.5285,11.5391,9.794,15.5511,6.238,9.0929,11.093,10.407,12.7759,10.2492,10.6072,15.6657,12.8178,11.0827,7.8109,10.9079,2.3475,0.01,17.8895,14.175,14.2335,10.8223,18.6133,15.3809,15.1573,7.7414,6.9964,11.3025,9.8156,14.4205,13.8865,7.9425,15.223,19.3388,14.1715,8.1914,13.0723,3.8195
ACBD6_Acyl-CoA-binding domain-containing protein 6,4.7895,3.1916,3.0761,2.5655,3.5643,2.9147,3.7415,3.5564,3.1923,3.3991,0.6346,0.3509,0.3649,2.3618,2.3813,4.0712,2.2461,2.0872,2.8991,4.1876,2.7268,3.2651,3.0935,3.0035,3.8913,3.0227,2.7479,4.13,3.5778,3.6589,3.2561,3.1449,0.6644,0.6419,3.4049,2.2528,4.2757,2.5283,2.5476,3.7255,4.4949,1.2604,2.8143,2.4438,2.7651,3.7869,3.322,1.6583,4.7152,3.9567,3.2264,2.0135,3.0662,0.9789
ACE_Angiotensin-converting enzyme,33.1122,50.9694,25.0554,18.5943,23.2632,19.9983,18.304,28.4647,21.3849,26.5718,10.3499,0.8868,0.5358,34.4061,19.3558,31.7629,16.6007,16.5414,37.1929,18.4442,26.1306,23.9884,24.0962,18.9333,39.7091,23.4904,35.3346,31.8823,47.5896,21.8397,20.9653,27.1258,8.9697,0.2931,30.8105,27.4741,23.2762,39.2754,13.6875,26.97,16.6887,6.3142,17.7777,21.236,22.1879,28.7064,27.848,11.404,55.5139,23.7481,19.5802,15.6119,23.7839,11.1176
ACHE_Acetylcholinesterase,0.8017,1.5091,1.5262,1.452,0.8018,1.6054,1.9048,2.372,1.5686,1.5046,0.4896,0.035,0.0139,1.3872,1.3032,3.0298,2.4804,1.6094,2.3783,2.8409,1.3448,2.836,1.9087,3.2094,2.6527,1.3421,1.59,2.5372,1.232,2.4353,1.3583,2.082,0.692,0.1391,2.6369,1.411,3.3428,2.9135,2.047,3.5643,3.0897,3.2668,1.3803,1.6363,3.0911,1.7664,2.4802,1.2977,2.4216,1.4884,4.6006,1.0974,2.4185,0.9696
ACIN1_Apoptotic chromatin condensation inducer in the nucleus,3.747,1.1041,0,6.7263,0,11.0051,26.6652,6.8203,0,6.2298,8.5869,0.3169,0.6259,3.4821,2.6966,7.6563,4.8812,0,4.0828,4.0603,3.2617,0,4.4849,10.4647,4.9339,2.2929,3.2696,4.7038,5.74,5.8176,0.4751,4.0169,2.5925,0.2814,5.9497,3.6168,6.4359,4.0394,5.7481,3.0345,7.7468,1.716,7.0807,3.9307,2.7518,3.513,8.8286,3.4943,5.5348,12.9607,0,6.0556,5.1354,2.9472
"ACKR1;GN=_Atypical chemokine receptor 1;Isoform of Q16570, Isoform 1 of Atypical chemokine receptor 1",16.9898,21.1305,25.3397,21.2412,39.1984,18.0881,20.8327,31.6232,31.9747,25.1576,7.52,0.7576,0.3173,14.7685,24.497,31.7118,72.548,42.1379,25.9693,0,12.9583,15.2301,30.7927,21.4895,0,34.1736,29.792,37.9271,45.7733,23.3532,23.206,27.0182,16.9431,0.3289,24.0159,39.0322,49.9934,25.0277,17.9029,60.406,19.5354,12.1989,32.2534,17.794,24.6386,26.4837,27.7392,122.8453,37.1451,22.3012,23.5839,28.5271,33.968,25.1231
ACLY_ATP-citrate synthase,2.4333,3.0536,3.2137,4.7171,2.7834,7.0501,2.4007,5.1016,4.7349,3.9431,1.5632,0.2952,0.4724,0.6018,2.5346,2.2404,7.8854,3.3672,2.1511,4.6255,4.1701,3.477,0,1.0393,3.0931,3.3304,4.4371,5.0344,3.9784,2.8435,2.5841,3.1885,1.8018,0.1137,3.3098,2.2394,4.5858,0.9777,14.5219,3.2755,3.3138,20.9759,3.1123,1.7893,2.8908,2.0016,2.4305,9.0066,2.7855,6.6931,3.5844,6.4574,5.2195,5.0848
ACO1_Cytoplasmic aconitate hydratase,80.3134,21.0528,42.4425,44.1041,31.3162,61.7296,18.1738,58.6417,60.0215,46.4217,20.6403,0.1394,0.0032,21.94,38.1955,41.4019,32.7737,43.7192,22.1442,46.5866,28.7573,68.9448,24.8455,39.5938,28.4047,25.5617,31.9007,53.4626,43.4722,35.8547,36.8894,36.9138,11.9087,0.0054,30.3597,16.2564,30.263,32.1455,42.3959,19.3946,29.7524,35.8691,31.0438,18.3642,30.5856,35.1058,18.9232,13.2483,38.2121,38.2586,26.4677,23.3215,28.3315,8.4127
"ACO2_Aconitate hydratase, mitochondrial",1333.1773,1562.1032,1306.1732,1447.036,1365.4274,1878.4219,1526.3179,2089.3263,2045.5351,1617.0576,307.339,0.7601,0.129,1600.4266,1734.252,2186.8563,1113.5908,1594.3098,1112.6552,2219.0171,1097.3588,2630.8824,1653.6666,2434.0363,1715.4964,2148.773,1238.2255,1759.3409,1171.9576,1289.8703,1388.9966,1671.6507,481.1675,0.137,2325.4022,1344.074,1977.4807,1897.6683,3249.5569,1765.1448,2077.409,2455.9583,761.3338,1861.5435,2062.1337,2805.9453,2613.9302,725.2013,1594.048,3091.2114,2498.1359,1164.5467,2015.0402,722.9038
"ACO2_Isoform of Q99798, Aconitate hydratase, mitochondrial",0.5756,0.8219,0,0.6264,0.9844,0.7832,0.4577,1.826,1.2912,0.8185,0.52,0.1452,0.199,1.6328,1.238,2.2357,0,0.9042,0.6321,2.4152,0.5375,1.737,0.8822,2.3095,0,1.8071,1.1623,1.6408,0.9815,0.8667,1.073,1.2253,0.7201,0.859,2.0403,0.8648,1.0402,1.7767,2.424,0,0,1.472,0,1.956,1.5496,2.479,2.1672,0.615,0,2.8407,1.9117,0,1.2854,0.9889
ACOT1_Acyl-coenzyme A thioesterase 1,100.9922,42.2581,163.3055,248.6448,30.1071,131.7022,42.1061,185.4412,280.6771,136.1371,91.4269,0.2643,0.0395,42.3971,104.0428,155.103,74.8731,98.9858,70.7882,227.2274,39.6049,107.4735,99.5515,124.1158,72.4753,92.4252,128.6174,134.7566,146.5926,126.9247,71.1379,106.5051,44.8118,0.0039,54.5253,52.823,154.9217,82.779,54.6417,58.5437,135.807,19.3073,54.1471,78.086,76.1232,72.5904,79.3038,61.1024,84.8401,157.4087,138.9044,63.2495,82.1725,38.8742
"ACOT13;GN=_Acyl-coenzyme A thioesterase 13;Isoform of Q9NPJ3, Isoform 2 of Acyl-coenzyme A thioesterase 13",41.1517,25.3811,20.5921,16.2734,26.1017,34.5059,37.8133,36.5684,27.8296,29.5797,8.4071,0.6725,0.7957,17.8828,46.9043,31.8508,23.0529,21.0801,22.7018,54.9744,18.8169,37.128,36.5888,57.5608,41.3514,19.9568,20.2862,38.8463,28.7947,25.5532,24.6321,31.5535,12.4349,0.6587,31.4122,24.3458,43.8139,28.5115,26.8055,33.6496,53.0423,19.3251,27.7763,24.693,47.426,29.1326,25.1359,21.5555,34.8178,29.7323,28.5309,19.9874,30.5385,9.2304
"ACOT2_Acyl-coenzyme A thioesterase 2, mitochondrial",193.8599,155.135,262.9667,350.5737,165.6413,331.5073,188.8187,381.8619,427.2745,273.071,102.4455,0.23,0.0889,139.5519,219.944,323.6833,174.7534,203.457,113.9621,416.1603,130.6317,334.8123,203.4454,317.5609,185.2208,183.3963,199.2506,292.247,228.3557,242.9104,214.6353,229.1099,79.5413,0.444,161.8073,150.4607,241.0528,229.4142,241.5039,113.9148,304.8751,151.5378,134.5164,186.283,221.6751,306.5344,233.9343,133.3087,199.9868,380.127,286.4944,152.32,212.7637,72.8039
ACOT8_Acyl-coenzyme A thioesterase 8,1.3143,0.6995,0.7379,0.6204,0,0.4209,0,1.3484,0.87,0.6679,0.4852,0.0001,0.0008,1.9179,2.2512,2.7066,1.9844,1.4265,2.2252,2.6925,0.7877,0.5568,1.8182,1.6309,2.4535,3.0952,1.6646,1.8735,2.7322,1.6005,0.9434,1.9089,0.7007,0.0491,2.1355,0.9614,2.4362,1.54,1.6524,1.7656,1.2244,0,1.2655,1.7056,2.1504,0.9225,2.0912,1.7785,2.0568,2.1465,1.7998,0.7058,1.5743,0.6241
"ACOT9_Acyl-coenzyme A thioesterase 9, mitochondrial",79.1932,52.9431,44.1571,51.9373,53.4157,55.9491,87.7294,61.9878,48.5185,59.5368,14.5633,0.0137,0.0011,75.2377,131.0425,86.4013,107.43,90.2137,109.6884,228.2762,48.7808,53.6416,99.0257,137.1283,123.4496,47.9392,91.5587,140.2652,92.196,62.3514,65.3734,99.4444,43.547,0.5636,107.8694,84.9421,132.9879,121.2328,132.3805,166.9092,158.9359,32.2122,77.3705,100.3398,117.9551,63.2819,76.6821,94.2017,133.5369,93.0098,125.3765,65.8047,104.7238,34.9513
ACOX2_Peroxisomal acyl-coenzyme A oxidase 2,0.7289,0.4169,0,0,0,0,0,0,0,0.1273,0.2644,0.4727,0.5449,0,0.8045,0.4885,0,0,0,0,0,0.6153,0,0,0,0,0,0,1.9639,0.8565,0,0.2627,0.5209,0.1394,0,0,0,0,0.5045,0,0,0,0,0,0,0,0,0,0,0,0.7584,0,0.0702,0.2088
ACP1_Low molecular weight phosphotyrosine protein phosphatase,34.5691,18.9326,26.7486,24.9792,32.7242,54.9659,30.363,27.1773,22.0652,30.2806,10.4894,0.3068,0.4899,24.2458,37.6975,59.5004,30.1943,22.2573,30.3292,42.5756,45.6298,48.1284,31.0419,44.4454,37.9918,30.817,38.6545,26.0886,29.33,26.4756,19.5885,34.7218,10.3987,0.729,24.2213,18.4554,49.0357,19.8527,149.3909,39.1724,32.3014,32.5253,32.3054,19.8963,42.8171,24.2538,27.7903,45.9049,26.6748,34.1687,25.7108,28.7513,37.4016,29.3125
ACP6_Lysophosphatidic acid phosphatase type 6,0,0,0.5065,0.3172,0,0.7194,0,0.5673,0.287,0.2664,0.2829,0.8212,0.7309,0,0,1.1051,0,0.5725,0,0,0,1.1801,0,0,0.5769,0.2015,0,0,0,0.5504,0,0.2326,0.3944,0.515,0.3922,0.5367,0.4255,0,0,0.6081,1.0184,0,0,0,0,1.2565,0,0,0,1.0038,0.5354,0,0.3209,0.4235
"ACSF2;GN=;GN=_Medium-chain acyl-CoA ligase ACSF2, mitochondrial;Isoform of Q96CM8, Isoform 2 of Medium-chain acyl-CoA ligase ACSF2, mitochondrial;Isoform of Q96CM8, Isoform 3 of Medium-chain acyl-CoA ligase ACSF2, mitochondrial",2.8457,5.5273,3.7085,11.1553,5.1282,4.5227,12.2813,4.187,5.2797,6.0706,3.3196,0.087,0.0006,29.8151,10.3684,9.886,8.9398,5.5869,10.0893,11.3779,5.3858,8.8736,8.597,26.9729,6.6802,8.3867,6.5509,11.1776,4.4855,7.1986,6.9136,10.4048,6.8584,0.0006,35.8177,18.8505,46.5171,7.5739,13.7064,24.4388,11.8446,13.6496,3.9863,38.2273,29.6905,6.9403,20.8302,24.5109,25.1653,46.0923,22.0605,39.0802,23.8324,13.1972
"ACSF3_Malonate--CoA ligase ACSF3, mitochondrial",0,2.6842,0,2.0639,1.6783,2.9648,0.9702,0,2.2642,1.4028,1.1952,0.1985,0.0022,5.2934,2.4261,1.9254,1.8708,1.4996,3.3718,2.1871,0,2.0128,3.7355,9.6167,1.9182,1.541,1.7738,2.5267,0.7878,0.6729,0.686,2.4359,2.1737,0.0008,7.0745,9.2837,10.1161,2.1131,8.4494,6.2285,2.4781,1.9766,2.4427,11.9144,9.3868,1.8104,2.3566,1.2279,4.2394,8.3431,3.242,6.1046,5.4882,3.4541
ACSL1_Long-chain-fatty-acid--CoA ligase 1,661.8932,825.296,754.9197,675.8952,619.6816,641.3471,1842.6591,1348.6718,1070.3035,937.8519,416.0901,0.0265,0.0183,773.1002,2597.2407,1668.4771,1204.8297,1687.6124,2476.0567,3595.5112,548.2121,1562.7929,3138.6867,4525.0883,7028.9396,775.6942,1150.7997,2601.0577,2541.6275,1102.6712,1243.3723,2234.5428,1608.7628,0.9181,884.0932,1327.1597,3469.0635,5337.2839,1929.4083,2070.0476,2219.8418,536.6869,1909.7439,2333.8513,2638.8629,1029.6253,1392.4961,1228.1702,5417.5307,1138.2266,3515.7344,880.5558,2181.0212,1435.0687
ACSL3_Fatty acid CoA ligase Acsl3,46.1092,47.3925,43.0527,30.597,31.1364,31.9296,53.6717,53.8402,36.0087,41.5264,9.3996,0.0063,0.0022,54.5426,51.5124,47.7882,34.5164,46.47,84.4035,80.1236,51.351,40.2904,85.7725,69.1396,92.4889,52.7097,54.4753,79.2045,73.2507,52.0051,40.551,60.5886,17.8466,0.2916,70.8595,55.0077,67.2686,77.6462,87.1213,79.1554,67.7676,39.2122,68.3243,58.8807,56.9268,32.5446,96.8042,44.7155,122.6596,66.8542,85.5689,45.3061,67.9235,22.0117
"ACSL4;GN=_Long-chain-fatty-acid--CoA ligase 4;Isoform of O60488, Isoform Short of Long-chain-fatty-acid--CoA ligase 4",11.3393,12.0895,6.3038,5.8342,9.1447,6.8769,10.903,9.703,5.8831,8.6753,2.493,0.1448,0.0031,8.7345,7.938,11.5112,7.4959,9.6045,11.3517,14.6981,8.7086,7.9965,10.6206,10.9151,10.1552,12.6792,8.6776,12.6197,10.8596,7.8949,7.9543,10.0231,2.0368,0.0051,15.4738,11.4584,16.604,9.621,14.1718,12.0055,10.3567,7.8419,8.3019,10.5408,10.3685,11.3391,14.2822,10.9184,14.0185,18.0438,11.9129,13.4294,12.2605,2.7721
"ACSL6;GN=;GN=;GN=_Long-chain-fatty-acid--CoA ligase 6;Isoform of Q9UKU0, Isoform 1 of Long-chain-fatty-acid--CoA ligase 6;Isoform of Q9UKU0, Isoform 6 of Long-chain-fatty-acid--CoA ligase 6;Isoform of Q9UKU0, Isoform 9 of Long-chain-fatty-acid--CoA ligase 6",2.6822,3.1427,3.5481,3.2462,3.3564,3.355,6.3848,5.3519,3.8363,3.8782,1.198,0.0042,0.0403,4.4395,6.6026,5.4541,4.758,7.4898,5.5829,5.2682,4.2379,5.0688,4.6275,6.1592,6.7172,5.5949,4.6903,7.1113,6.1251,3.5756,3.4167,5.3844,1.1587,0.658,5.265,4.0274,6.5015,7.023,0,6.4148,8.5866,3.2346,6.3136,9.4596,5.3854,4.2617,5.2771,3.5914,4.3642,8.2116,5.4578,9.5139,5.7161,2.3861
